sepal_length,sepal_width,petal_length,petal_width,species,species_encoded,sepal_area,petal_area,sepal_petal_ratio
5.1,3.5,1.4,0.2,setosa,0,17.849999999999998,0.27999999999999997,3.642854540818185
4.9,3.0,1.4,0.2,setosa,0,14.700000000000001,0.27999999999999997,3.499997500001786
4.7,3.2,1.3,0.2,setosa,0,15.040000000000001,0.26,3.615381834321666
4.6,3.1,1.5,0.2,setosa,0,14.26,0.30000000000000004,3.066664622223585
5.0,3.6,1.4,0.2,setosa,0,18.0,0.27999999999999997,3.571426020409986
5.4,3.9,1.7,0.4,setosa,0,21.060000000000002,0.68,3.176468719724283
4.6,3.4,1.4,0.3,setosa,0,15.639999999999999,0.42,3.2857119387771867
5.0,3.4,1.5,0.2,setosa,0,17.0,0.30000000000000004,3.3333311111125927
4.4,2.9,1.4,0.2,setosa,0,12.76,0.27999999999999997,3.1428548979607878
4.9,3.1,1.5,0.1,setosa,0,15.190000000000001,0.15000000000000002,3.266664488890341
5.4,3.7,1.5,0.2,setosa,0,19.980000000000004,0.30000000000000004,3.5999976000016005
4.8,3.4,1.6,0.2,setosa,0,16.32,0.32000000000000006,2.999998125001172
4.8,3.0,1.4,0.1,setosa,0,14.399999999999999,0.13999999999999999,3.428568979593586
4.3,3.0,1.1,0.1,setosa,0,12.899999999999999,0.11000000000000001,3.909087355375131
5.8,4.0,1.2,0.2,setosa,0,23.2,0.24,4.833329305558912
5.7,4.4,1.5,0.4,setosa,0,25.080000000000002,0.6000000000000001,3.799997466668356
5.4,3.9,1.3,0.4,setosa,0,21.060000000000002,0.52,4.15384295858234
5.1,3.5,1.4,0.3,setosa,0,17.849999999999998,0.42,3.642854540818185
5.7,3.8,1.7,0.3,setosa,0,21.66,0.51,3.35293920415341
5.1,3.8,1.5,0.3,setosa,0,19.38,0.44999999999999996,3.3999977333348443
5.4,3.4,1.7,0.2,setosa,0,18.36,0.34,3.176468719724283
5.1,3.7,1.5,0.4,setosa,0,18.87,0.6000000000000001,3.3999977333348443
4.6,3.6,1.0,0.2,setosa,0,16.56,0.2,4.5999954000046
5.1,3.3,1.7,0.5,setosa,0,16.83,0.85,2.9999982352951555
4.8,3.4,1.9,0.2,setosa,0,16.32,0.38,2.526314459834495
5.0,3.0,1.6,0.2,setosa,0,15.0,0.32000000000000006,3.124998046876221
5.0,3.4,1.6,0.4,setosa,0,17.0,0.6400000000000001,3.124998046876221
5.2,3.5,1.5,0.2,setosa,0,18.2,0.30000000000000004,3.4666643555570964
5.2,3.4,1.4,0.2,setosa,0,17.68,0.27999999999999997,3.7142830612263853
4.7,3.2,1.6,0.2,setosa,0,15.040000000000001,0.32000000000000006,2.9374981640636477
4.8,3.1,1.6,0.2,setosa,0,14.879999999999999,0.32000000000000006,2.999998125001172
5.4,3.4,1.5,0.4,setosa,0,18.36,0.6000000000000001,3.5999976000016005
5.2,4.1,1.5,0.1,setosa,0,21.32,0.15000000000000002,3.4666643555570964
5.5,4.2,1.4,0.2,setosa,0,23.1,0.27999999999999997,3.9285686224509844
4.9,3.1,1.5,0.2,setosa,0,15.190000000000001,0.30000000000000004,3.266664488890341
5.0,3.2,1.2,0.2,setosa,0,16.0,0.24,4.166663194447338
5.5,3.5,1.3,0.2,setosa,0,19.25,0.26,4.230765976333864
4.9,3.6,1.4,0.1,setosa,0,17.64,0.13999999999999999,3.499997500001786
4.4,3.0,1.3,0.2,setosa,0,13.200000000000001,0.26,3.384612781067092
5.1,3.4,1.5,0.2,setosa,0,17.34,0.30000000000000004,3.3999977333348443
5.0,3.5,1.3,0.3,setosa,0,17.5,0.39,3.8461508875762402
4.5,2.3,1.3,0.3,setosa,0,10.35,0.39,3.4615357988186166
4.4,3.2,1.3,0.2,setosa,0,14.080000000000002,0.26,3.384612781067092
5.0,3.5,1.6,0.6,setosa,0,17.5,0.96,3.124998046876221
5.1,3.8,1.9,0.4,setosa,0,19.38,0.76,2.6842091135741506
4.8,3.0,1.4,0.3,setosa,0,14.399999999999999,0.42,3.428568979593586
5.1,3.8,1.6,0.2,setosa,0,19.38,0.32000000000000006,3.187498007813745
4.6,3.2,1.4,0.2,setosa,0,14.719999999999999,0.27999999999999997,3.2857119387771867
5.3,3.7,1.5,0.2,setosa,0,19.61,0.30000000000000004,3.533330977779348
5.0,3.3,1.4,0.2,setosa,0,16.5,0.27999999999999997,3.571426020409986
7.0,3.2,4.7,1.4,versicolor,1,22.400000000000002,6.58,1.4893613852422583
6.4,3.2,4.5,1.5,versicolor,1,20.480000000000004,6.75,1.4222219061729098
6.9,3.1,4.9,1.5,versicolor,1,21.39,7.3500000000000005,1.4081629779259228
5.5,2.3,4.0,1.3,versicolor,1,12.649999999999999,5.2,1.374999656250086
6.5,2.8,4.6,1.5,versicolor,1,18.2,6.8999999999999995,1.4130431710775715
5.7,2.8,4.5,1.3,versicolor,1,15.959999999999999,5.8500000000000005,1.2666663851852478
6.3,3.3,4.7,1.6,versicolor,1,20.79,7.5200000000000005,1.3404252467180324
4.9,2.4,3.3,1.0,versicolor,1,11.76,3.3,1.484848034894535
6.6,2.9,4.6,1.3,versicolor,1,19.139999999999997,5.9799999999999995,1.4347822967864572
5.2,2.7,3.9,1.4,versicolor,1,14.040000000000001,5.46,1.3333329914530792
5.0,2.0,3.5,1.0,versicolor,1,10.0,3.5,1.4285710204082798
5.9,3.0,4.2,1.5,versicolor,1,17.700000000000003,6.300000000000001,1.4047615702948641
6.0,2.2,4.0,1.0,versicolor,1,13.200000000000001,4.0,1.4999996250000938
6.1,2.9,4.7,1.4,versicolor,1,17.689999999999998,6.58,1.2978720642825394
5.6,2.9,3.6,1.3,versicolor,1,16.24,4.680000000000001,1.55555512345691
6.7,3.1,4.4,1.4,versicolor,1,20.77,6.16,1.522726926652971
5.6,3.0,4.5,1.5,versicolor,1,16.799999999999997,6.75,1.2444441679012959
5.8,2.7,4.1,1.0,versicolor,1,15.66,4.1,1.4146338013088289
6.2,2.2,4.5,1.5,versicolor,1,13.640000000000002,6.75,1.3777774716050064
5.6,2.5,3.9,1.1,versicolor,1,14.0,4.29,1.4358970677187004
5.9,3.2,4.8,1.8,versicolor,1,18.880000000000003,8.64,1.2291664105903313
6.1,2.8,4.0,1.3,versicolor,1,17.08,5.2,1.5249996187500952
6.3,2.5,4.9,1.5,versicolor,1,15.75,7.3500000000000005,1.2857140233236686
6.1,2.8,4.7,1.2,versicolor,1,17.08,5.64,1.2978720642825394
6.4,2.9,4.3,1.3,versicolor,1,18.56,5.59,1.4883717468902915
6.6,3.0,4.4,1.4,versicolor,1,19.799999999999997,6.16,1.4999996590909863
6.8,2.8,4.8,1.4,versicolor,1,19.04,6.72,1.4166663715278391
6.7,3.0,5.0,1.7,versicolor,1,20.1,8.5,1.3399997320000536
6.0,2.9,4.5,1.5,versicolor,1,17.4,6.75,1.3333330370371028
5.7,2.6,3.5,1.0,versicolor,1,14.82,3.5,1.628570963265439
5.5,2.4,3.8,1.1,versicolor,1,13.2,4.18,1.4473680401663052
5.5,2.4,3.7,1.0,versicolor,1,13.2,3.7,1.4864860847334904
5.8,2.7,3.9,1.2,versicolor,1,15.66,4.68,1.4871791058515114
6.0,2.7,5.1,1.6,versicolor,1,16.200000000000003,8.16,1.1764703575548319
5.4,3.0,4.5,1.5,versicolor,1,16.200000000000003,6.75,1.1999997333333927
6.0,3.4,4.5,1.6,versicolor,1,20.4,7.2,1.3333330370371028
6.7,3.1,4.7,1.5,versicolor,1,20.77,7.050000000000001,1.4255316115890186
6.3,2.3,4.4,1.3,versicolor,1,14.489999999999998,5.720000000000001,1.4318178564050323
5.6,3.0,4.1,1.3,versicolor,1,16.799999999999997,5.33,1.3658533254016278
5.5,2.5,4.0,1.3,versicolor,1,13.75,5.2,1.374999656250086
5.5,2.6,4.4,1.2,versicolor,1,14.3,5.28,1.2499997159091554
6.1,3.0,4.6,1.4,versicolor,1,18.299999999999997,6.4399999999999995,1.3260866682420287
5.8,2.6,4.0,1.2,versicolor,1,15.08,4.8,1.4499996375000905
5.0,2.3,3.3,1.0,versicolor,1,11.5,3.3,1.5151510560148316
5.6,2.7,4.2,1.3,versicolor,1,15.12,5.460000000000001,1.3333330158730912
5.7,3.0,4.2,1.2,versicolor,1,17.1,5.04,1.3571425340136822
5.7,2.9,4.2,1.3,versicolor,1,16.53,5.460000000000001,1.3571425340136822
6.2,2.9,4.3,1.3,versicolor,1,17.98,5.59,1.4418601297999698
5.1,2.5,3.0,1.1,versicolor,1,12.75,3.3000000000000003,1.699999433333522
5.7,2.8,4.1,1.3,versicolor,1,15.959999999999999,5.33,1.3902435633552286
6.3,3.3,6.0,2.5,virginica,2,20.79,15.0,1.049999825000029
5.8,2.7,5.1,1.9,virginica,2,15.66,9.69,1.1372546789696707
7.1,3.0,5.9,2.1,virginica,2,21.299999999999997,12.39,1.2033896265441308
6.3,2.9,5.6,1.8,virginica,2,18.27,10.08,1.1249997991071787
6.5,3.0,5.8,2.2,virginica,2,19.5,12.76,1.1206894619500927
7.6,3.0,6.6,2.1,virginica,2,22.799999999999997,13.86,1.1515149770431852
4.9,2.5,4.5,1.7,virginica,2,12.25,7.6499999999999995,1.088888646913634
7.3,2.9,6.3,1.8,virginica,2,21.169999999999998,11.34,1.158729974804766
6.7,2.5,5.8,1.8,virginica,2,16.75,10.44,1.1551722146254804
7.2,3.6,6.1,2.5,virginica,2,25.92,15.25,1.180327675356119
6.5,3.2,5.1,2.0,virginica,2,20.8,10.2,1.2745095540177345
6.4,2.7,5.3,1.9,virginica,2,17.28,10.069999999999999,1.207546941972275
6.8,3.0,5.5,2.1,virginica,2,20.4,11.55,1.2363634115702888
5.7,2.5,5.0,2.0,virginica,2,14.25,10.0,1.1399997720000457
5.8,2.8,5.1,2.4,virginica,2,16.24,12.239999999999998,1.1372546789696707
6.4,3.2,5.3,2.3,virginica,2,20.480000000000004,12.19,1.207546941972275
6.5,3.0,5.5,1.8,virginica,2,19.5,9.9,1.1818179669421878
7.7,3.8,6.7,2.2,virginica,2,29.259999999999998,14.740000000000002,1.1492535598129014
7.7,2.6,6.9,2.3,virginica,2,20.02,15.87,1.1159418672548018
6.0,2.2,5.0,1.5,virginica,2,13.200000000000001,7.5,1.199999760000048
6.9,3.2,5.7,2.3,virginica,2,22.080000000000002,13.11,1.2105261034164732
5.6,2.8,4.9,2.0,virginica,2,15.679999999999998,9.8,1.1428569096210386
7.7,2.8,6.7,2.0,virginica,2,21.56,13.4,1.1492535598129014
6.3,2.7,4.9,1.8,virginica,2,17.01,8.82,1.2857140233236686
6.7,3.3,5.7,2.1,virginica,2,22.11,11.97,1.1754383902739667
7.2,3.2,6.0,1.8,virginica,2,23.040000000000003,10.8,1.1999998000000334
6.2,2.8,4.8,1.8,virginica,2,17.36,8.64,1.2916663975695006
6.1,3.0,4.9,1.8,virginica,2,18.299999999999997,8.82,1.244897705122917
6.4,2.8,5.6,2.1,virginica,2,17.919999999999998,11.76,1.1428569387755467
7.2,3.0,5.8,1.6,virginica,2,21.6,9.28,1.241379096313949
7.4,2.8,6.1,1.9,virginica,2,20.72,11.589999999999998,1.2131145552271223
7.9,3.8,6.4,2.0,virginica,2,30.02,12.8,1.2343748071289364
6.4,2.8,5.6,2.2,virginica,2,17.919999999999998,12.32,1.1428569387755467
6.3,2.8,5.1,1.5,virginica,2,17.639999999999997,7.6499999999999995,1.2352938754325735
6.1,2.6,5.6,1.4,virginica,2,15.86,7.839999999999999,1.089285519770443
7.7,3.0,6.1,2.3,virginica,2,23.1,14.029999999999998,1.2622948750336271
6.3,3.4,5.6,2.4,virginica,2,21.419999999999998,13.44,1.1249997991071787
6.4,3.1,5.5,1.8,virginica,2,19.840000000000003,9.9,1.1636361520661542
6.0,3.0,4.8,1.8,virginica,2,18.0,8.64,1.2499997395833875
6.9,3.1,5.4,2.1,virginica,2,21.39,11.340000000000002,1.2777775411523071
6.7,3.1,5.6,2.4,virginica,2,20.77,13.44,1.1964283577806505
6.9,3.1,5.1,2.3,virginica,2,21.39,11.729999999999999,1.3529409111880568
5.8,2.7,5.1,1.9,virginica,2,15.66,9.69,1.1372546789696707
6.8,3.2,5.9,2.3,virginica,2,21.76,13.57,1.152542177535224
6.7,3.3,5.7,2.5,virginica,2,22.11,14.25,1.1754383902739667
6.7,3.0,5.2,2.3,virginica,2,20.1,11.959999999999999,1.288461290680521
6.3,2.5,5.0,1.9,virginica,2,15.75,9.5,1.2599997480000504
6.5,3.0,5.2,2.0,virginica,2,19.5,10.4,1.2499997596154309
6.2,3.4,5.4,2.3,virginica,2,21.08,12.42,1.14814793552816
5.9,3.0,5.1,1.8,virginica,2,17.700000000000003,9.18,1.1568625182622514
